	  t(0)  	  t(1)  	  t(2)  	  t(3)  	
S(0)	5.3125E-2	1.0625E-4	3.01042E-5	1.16322E-6	
S(1)	3.125E-3	8.85417E-4	3.42125E-5	7.27016E-7	
S(2)	3.125E-3	2.23125E-3	4.74141E-5	3.18622E-6	
S(3)	3.125E-3	1.0625E-4	4.4625E-6	1.51725E-7	
S(4)	3.125E-3	8.85417E-4	1.77083E-6	5.01736E-7	
S(5)	3.125E-3	8.85417E-4	3.42125E-5	1.88076E-5	
S(6)	3.125E-3	7.7474E-4	3.42125E-5	1.88076E-5	
S(7)	5.3125E-2	1.12891E-3	7.58625E-5	2.74053E-5	
S(8)	3.125E-3	1.35417E-4	9.66875E-5	6.90349E-5	
S(9)	3.125E-3	1.0625E-4	7.58625E-5	5.31037E-6	
S(10)	5.3125E-2	1.80625E-3	1.28966E-3	4.38485E-5	
S(11)	3.125E-3	1.0625E-4	3.6125E-6	2.57932E-6	
S(12)	3.125E-3	2.23125E-3	1.59311E-3	5.41658E-5	
S(13)	5.3125E-2	3.79313E-2	1.28966E-3	9.20819E-4	
S(14)	5.3125E-2	1.80625E-3	1.28966E-3	4.38485E-5	
S(15)	3.125E-3	1.0625E-4	3.6125E-6	2.57932E-6	
