	To 0	To 1	To 2	To 3	To 4	To 5	To 6	To 7	To 8	To 9	To 10	To 11	To 12	To 13	To 14	To 15	
From 0	0.00	0.90	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
From 1	0.07	0.00	0.47	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
From 2	0.00	0.07	0.00	0.87	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
From 3	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
From 4	0.07	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
From 5	0.00	0.85	0.00	0.00	0.05	0.00	0.05	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	
From 6	0.00	0.00	0.05	0.00	0.00	0.05	0.00	0.85	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	
From 7	0.00	0.00	0.00	0.87	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	
From 8	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.87	0.00	0.00	0.00	
From 9	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.05	0.00	0.05	0.00	0.00	0.85	0.00	0.00	
From 10	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.05	0.00	0.85	0.00	0.00	0.05	0.00	
From 11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.07	
From 12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.90	0.00	0.00	
From 13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.07	0.00	0.87	0.00	
From 14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.07	0.00	0.87	
From 15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.10	0.00	
